episode,reward
1,-56.15661
2,-51.296497
3,-50.624344
4,-49.96849
5,-52.721985
6,-44.675728
7,-46.883156
8,-48.45489
9,-44.643654
10,-50.141403
11,-51.34354
12,-51.420357
13,-48.852318
14,-48.991478
15,-48.509624
16,-51.36751
17,-49.920082
18,-46.81684
19,-51.303684
20,-49.89016
21,-54.930664
22,-49.562775
23,-49.308655
24,-40.69881
25,-44.918148
26,-49.13307
27,-45.88837
28,-51.28435
29,-45.614464
30,-47.498783
31,-50.843655
32,-42.310143
33,-53.093422
34,-43.082752
35,-43.941174
36,-55.92404
37,-51.275406
38,-50.268505
39,-44.267166
40,-47.490887
41,-49.33598
42,-44.459686
43,-47.751495
44,-42.980648
45,-46.454388
46,-51.12783
47,-37.16109
48,-39.665787
49,-50.222034
50,-51.027378
51,-45.444675
52,-52.703823
53,-41.950226
54,-45.572113
55,-48.932247
56,-45.266087
57,-51.901478
58,-49.1097
59,-46.057774
60,-50.39483
61,-40.033195
62,-46.26306
63,-35.43875
64,-42.111786
65,-42.265068
66,-44.391388
67,-42.66818
68,-46.215897
69,-45.29234
70,-48.3474
71,-53.842197
72,-50.980755
73,-42.78531
74,-46.580864
75,-43.081238
76,-45.9342
77,-49.350365
78,-45.36988
79,-51.97135
80,-45.70788
81,-49.649876
82,-37.109646
83,-48.264187
84,-45.661552
85,-54.31477
86,-51.179394
87,-48.66279
88,-44.082626
89,-47.617878
90,-49.608295
91,-46.22924
92,-47.397972
93,-51.701565
94,-47.04708
95,-48.334232
96,-50.087154
97,-40.62644
98,-44.416008
99,-47.57392
100,-50.149143
101,-39.500114
102,-51.03619
103,-43.15903
104,-44.8573
105,-51.836403
106,-47.02703
107,-48.784225
108,-50.18606
109,-47.86455
110,-44.915257
111,-46.04526
112,-53.863655
113,-49.642754
114,-45.27184
115,-50.331467
116,-50.245422
117,-41.59239
118,-53.595127
119,-52.183655
120,-44.724453
121,-45.412266
122,-44.90884
123,-43.57268
124,-49.2142
125,-50.50749
126,-44.364674
127,-41.150547
128,-45.84422
129,-48.052628
130,-54.153217
131,-46.381783
132,-49.348583
133,-47.42042
134,-46.059845
135,-47.75601
136,-46.786686
137,-45.181664
138,-45.005127
139,-39.926857
140,-46.89533
141,-42.048237
142,-38.374985
143,-41.1632
144,-48.37009
145,-47.094475
146,-41.886585
147,-49.251957
148,-47.88894
149,-44.083065
150,-46.56753
151,-49.08895
152,-47.08097
153,-42.4948
154,-44.66392
155,-46.780697
156,-48.678158
157,-49.312687
158,-51.578094
159,-41.106888
160,-42.131336
161,-51.320457
162,-42.835884
163,-46.30541
164,-43.700737
165,-43.673714
166,-43.678623
167,-46.034348
168,-42.58527
169,-49.387035
170,-40.974964
171,-44.700596
172,-47.099247
173,-40.329483
174,-45.4895
175,-44.10625
176,-47.018623
177,-45.396946
178,-43.78427
179,-46.896545
180,-46.284584
181,-39.903168
182,-44.53737
183,-44.0485
184,-37.70929
185,-47.24915
186,-49.64714
187,-48.491753
188,-41.870277
189,-42.95302
190,-46.896645
191,-39.702084
192,-44.81252
193,-41.81354
194,-49.196022
195,-46.109837
196,-48.32828
197,-34.98721
198,-40.891354
199,-43.105873
200,-50.665
201,-44.55445
202,-46.647472
203,-48.024746
204,-45.356083
205,-45.81466
206,-50.85757
207,-47.343094
208,-43.042
209,-53.957726
210,-49.100384
211,-42.711838
212,-35.86605
213,-41.021267
214,-45.744053
215,-46.74584
216,-50.827442
217,-46.034615
218,-42.507343
219,-46.823402
220,-44.790398
221,-45.915195
222,-52.474884
223,-45.18369
224,-40.685608
225,-46.930206
226,-45.54034
227,-42.901344
228,-53.0643
229,-44.59219
230,-47.21164
231,-40.152
232,-49.838722
233,-46.021618
234,-48.762634
235,-41.452934
236,-51.689037
237,-49.622356
238,-47.528976
239,-50.463005
240,-41.554813
241,-44.364952
242,-49.503857
243,-46.49539
244,-51.111534
245,-47.060474
246,-54.170307
247,-47.63582
248,-44.99821
249,-49.912193
250,-48.76116
251,-41.02105
252,-48.79222
253,-46.161472
254,-49.648113
255,-45.974285
256,-50.50333
257,-45.105366
258,-47.572742
259,-50.00138
260,-48.64376
261,-52.436367
262,-39.987434
263,-49.03828
264,-51.919895
265,-49.981472
266,-45.912834
267,-43.477654
268,-46.896088
269,-48.70962
270,-43.05221
271,-45.547832
272,-43.118217
273,-43.200222
274,-46.270184
275,-47.405235
276,-46.38936
277,-44.121483
278,-46.021774
279,-49.115036
280,-43.436153
281,-53.749386
282,-51.936237
283,-52.30667
284,-42.7567
285,-46.616596
286,-48.995182
287,-52.45571
288,-50.67954
289,-44.50939
290,-46.65504
291,-52.663517
292,-52.513042
293,-43.042336
294,-51.896748
295,-47.5985
296,-51.139523
297,-49.786163
298,-49.44145
299,-46.87059
300,-50.010788
301,-47.159206
302,-49.566303
303,-51.811085
304,-42.072308
305,-49.289093
306,-53.716404
307,-58.600533
308,-52.783516
309,-50.547867
310,-48.431305
311,-53.31296
312,-47.7541
313,-55.455746
314,-46.779003
315,-47.221947
316,-42.4388
317,-52.242233
318,-47.204556
319,-47.74593
320,-53.417755
321,-51.083767
322,-52.276474
323,-52.656055
324,-49.88377
325,-55.19663
326,-55.32893
327,-49.909996
328,-53.801975
329,-48.21381
330,-53.21903
331,-53.472824
332,-53.00837
333,-43.5967
334,-53.238216
335,-55.185818
336,-46.329453
337,-52.77066
338,-53.52154
339,-54.943424
340,-48.24426
341,-54.066532
342,-51.323936
343,-43.319923
344,-54.659077
345,-55.891415
346,-50.545677
347,-48.017036
348,-51.383904
349,-50.208412
350,-56.31013
351,-50.766476
352,-55.129005
353,-56.41993
354,-43.554325
355,-60.04735
356,-55.92175
357,-49.164516
358,-49.82513
359,-54.587124
360,-57.543888
361,-57.947876
362,-61.410946
363,-54.916355
364,-51.266117
365,-54.835644
366,-56.918198
367,-56.68008
368,-58.9597
369,-54.790615
370,-53.21206
371,-56.5784
372,-53.210434
373,-53.907063
374,-53.891712
375,-53.88549
376,-48.157913
377,-57.351246
378,-55.874466
379,-53.12043
380,-57.22711
381,-55.706387
382,-47.983505
383,-57.20268
384,-47.900482
385,-54.01324
386,-50.08337
387,-51.414284
388,-50.34855
389,-55.257984
390,-49.40793
391,-55.09943
392,-53.882175
393,-55.044292
394,-50.048622
395,-55.50739
396,-58.22841
397,-56.500496
398,-51.979
399,-52.98033
400,-53.253654
401,-46.99365
402,-50.488422
403,-52.929756
404,-49.247986
405,-59.497128
406,-57.956596
407,-49.208115
408,-52.59726
409,-58.430172
410,-54.58176
411,-64.75256
412,-62.337936
413,-53.733437
414,-54.21817
415,-54.415115
416,-55.923195
417,-59.01854
418,-59.374603
419,-57.83583
420,-54.797134
421,-57.728695
