episode,reward
1,-5.7122717
2,-3.9936836
3,-11.080465
4,-4.1430078
5,-5.0574155
6,-13.539824
7,-2.5905297
8,-4.744409
9,-7.7172246
10,-3.2061412
11,-2.8159392
12,-13.6071205
13,-8.688098
14,-3.0896862
15,-6.248228
16,-10.90166
17,-9.519056
18,-14.350885
19,-7.985097
20,-13.106526
21,-14.066012
22,-5.140995
23,-7.8933554
24,-2.0229576
25,-4.65728
26,-12.313403
27,-7.128311
28,-8.008342
29,-2.675378
30,-10.305774
31,-7.5564785
32,-13.258903
33,-5.793315
34,-4.5702453
35,-3.3367434
36,-6.168403
37,-11.01992
38,-6.6504874
39,-7.6315856
40,-3.725162
41,-11.041565
42,-5.592787
43,-13.627182
44,-14.352953
45,-3.60337
46,-4.20038
47,-10.742041
48,-2.3459618
49,-3.5197954
50,-9.599665
51,-10.918297
52,-4.738368
53,-6.337053
54,-2.5830288
55,-7.550056
56,-11.718959
57,-3.521224
58,-10.211737
59,-5.623633
60,-5.2789407
61,-10.530709
62,-13.393925
63,-2.9618425
64,-9.27011
65,-12.528565
66,-6.248585
67,-3.4548905
68,-7.0688157
69,-10.346568
70,-3.0521624
71,-4.952929
72,-9.343379
73,-7.8654943
74,-9.250263
75,-7.2685113
76,-11.924083
77,-4.714538
78,-1.4446656
79,-7.1506767
80,-7.5759215
81,-11.233891
82,-3.2951815
83,-7.1691513
84,-6.0074177
85,-3.9505894
86,-3.962456
87,-5.135529
88,-6.6394086
89,-2.7287803
90,-1.9411358
91,-5.540372
92,-2.6755154
93,-4.914525
94,-7.855636
95,-3.3152943
96,-5.1013503
97,-5.3042564
98,-9.556657
99,-4.877749
100,-5.0193424
