Episode,Total_Reward,Steps,Goal_Reached,Outcome,Epsilon,Maximum_Q_Change,Success,Rolling_Average_Reward,Rolling_Average_Steps,Rolling_Success_Rate,Rolling_Average_Q_Change
1,-135,30,False,Trap reached,1.0,5.0,0,-135.0,30.0,0.0,5.0
2,-98,13,False,Trap reached,0.995,5.0,0,-116.5,21.5,0.0,5.0
3,15,30,True,Goal reached,0.990025,10.0,1,-72.66666666666667,24.333333333333332,33.33333333333333,6.666666666666667
4,-144,35,False,Trap reached,0.985074875,4.5,0,-90.5,27.0,25.0,6.125
5,-58,5,False,Trap reached,0.9801495006250001,4.5,0,-84.0,22.6,20.0,5.8
6,-93,20,False,Trap reached,0.9752487531218751,4.050000000000001,0,-85.5,22.166666666666668,16.666666666666664,5.508333333333333
7,-90,13,False,Trap reached,0.9703725093562657,3.6449999999999996,0,-86.14285714285714,20.857142857142858,14.285714285714285,5.242142857142857
8,-320,100,False,Maximum steps reached,0.9655206468094844,0.5,0,-115.375,30.75,12.5,4.649375
9,-276,100,False,Maximum steps reached,0.960693043575437,0.86,0,-133.22222222222223,38.44444444444444,11.11111111111111,4.2283333333333335
10,-102,71,True,Goal reached,0.9558895783575597,9.0,1,-130.1,41.7,20.0,4.7055
11,-89,70,True,Goal reached,0.9511101304657719,8.100000000000001,1,-126.36363636363636,44.27272727272727,27.27272727272727,5.01409090909091
12,-262,81,False,Trap reached,0.946354579813443,3.2805,0,-137.66666666666666,47.333333333333336,25.0,4.869625
13,-169,40,False,Trap reached,0.9416228069143757,2.952449999999999,0,-140.07692307692307,46.76923076923077,23.076923076923077,4.72215
14,-272,75,False,Trap reached,0.9369146928798039,4.050000000000001,0,-149.5,48.785714285714285,21.428571428571427,4.674139285714285
15,-256,100,False,Maximum steps reached,0.9322301194154049,0.44256808343388565,0,-156.6,52.2,20.0,4.392034538895592
16,-147,34,False,Trap reached,0.9275689688183278,2.657205000000001,0,-156.0,51.0625,18.75,4.283607692714618
17,-127,38,False,Trap reached,0.9229311239742362,2.3914845000000007,0,-154.2941176470588,50.294117647058826,17.647058823529413,4.172306328437288
18,-132,85,True,Goal reached,0.918316468354365,7.289999999999999,1,-153.05555555555554,52.22222222222222,22.22222222222222,4.345511532412994
19,-40,49,True,Goal reached,0.9137248860125932,10.0,1,-147.10526315789474,52.05263157894737,26.31578947368421,4.643116188601783
20,24,33,True,Goal reached,0.9091562615825302,6.561,1,-138.55,51.1,30.0,4.739010379171694
21,-188,93,True,Goal reached,0.9046104802746175,5.904899999999998,1,-140.9047619047619,53.095238095238095,33.33333333333333,4.794528932544471
22,-87,14,False,Trap reached,0.9000874278732445,2.152336049999999,0,-138.45454545454547,51.31818181818182,31.818181818181817,4.674429256065176
23,-117,74,True,Goal reached,0.8955869907338783,5.314410000000002,1,-137.52173913043478,52.30434782608695,34.78260869565217,4.7022545058014735
24,54,19,True,Goal reached,0.8911090557802088,4.782969000000001,1,-129.54166666666666,50.916666666666664,37.5,4.705617609726412
25,18,39,True,Goal reached,0.8866535105013078,9.0,1,-123.64,50.44,40.0,4.877392905337356
26,-272,100,False,Maximum steps reached,0.8822202429488013,0.5195424364201506,0,-129.34615384615384,52.34615384615385,38.46153846153847,4.709783271917463
27,-41,54,True,Goal reached,0.8778091417340573,4.304672099999998,1,-126.07407407407408,52.407407407407405,40.74074074074074,4.694779154439039
28,-85,12,False,Trap reached,0.8734200960253871,1.9371024450000007,0,-124.60714285714286,50.964285714285715,39.285714285714285,4.596290700530502
29,-288,100,False,Maximum steps reached,0.8690529955452602,2.223503617708232,0,-130.24137931034483,52.6551724137931,37.93103448275862,4.514470456295251
30,-47,60,True,Goal reached,0.8647077305675338,4.204052604000001,1,-127.46666666666667,52.9,40.0,4.504123194552076
31,-139,34,False,Trap reached,0.8603841919146962,1.743392200499997,0,-127.83870967741936,52.29032258064516,38.70967741935484,4.415067356034267
32,12,29,True,Goal reached,0.8560822709551227,8.100000000000001,1,-123.46875,51.5625,40.625,4.530221501158196
33,-308,100,False,Maximum steps reached,0.851801859600347,0.7239689681340558,0,-129.06060606060606,53.03030303030303,39.39393939393939,4.41488051530898
34,-15,44,True,Goal reached,0.8475428503023453,7.289999999999999,1,-125.70588235294117,52.76470588235294,41.17647058823529,4.49944285309401
35,-101,20,False,Trap reached,0.8433051360508336,3.6449999999999996,0,-125.0,51.82857142857143,40.0,4.475030200148466
