Update,Environment Steps,Episodes Completed,Advantage Mean,Advantage Std,Return Mean,Policy Loss,Value Loss,Entropy,Clip Fraction,Approx KL
1,1024,20,-11.407653,4.585582,-11.292078,-0.012257159769069404,113.5205062866211,2.808798202872276,0.073046875,0.006232878327136859
2,2048,40,-10.420532,5.1818132,-13.590123,-0.016339283791603522,108.88359780311585,2.765090022981167,0.08740234375,0.007132831768831238
3,3072,61,-10.288687,5.188167,-11.205055,-0.01575126579264179,61.700875151157376,2.7463353857398034,0.1201171875,0.008533477043965832
4,4096,81,-9.693555,3.8932629,-18.020248,-0.00854794387705624,64.11554251909256,2.733489269018173,0.069140625,0.005788105604005977
5,5120,102,-8.961235,4.282127,-22.682367,-0.01159148255828768,62.56629534959793,2.715806172788143,0.06796875,0.0057080360304098575
6,6144,122,-7.708201,4.203861,-24.347572,-0.01130633200518787,49.84254256486893,2.6944563940167425,0.0748046875,0.0059442886325996366
7,7168,143,-7.633205,3.8891418,-27.663532,-0.004941934003727511,42.41689960956573,2.6643711000680925,0.05732421875,0.004864551889477297
8,8192,163,-7.3585806,3.4017966,-30.534702,-0.009028932946966961,33.76449695825577,2.6318948000669478,0.07314453125,0.005910241528181359
9,9216,184,-6.8990297,3.0752554,-34.843945,-0.010006595740560443,35.7365803360939,2.5839795872569082,0.08408203125,0.0070380067452788355
10,10240,204,-6.4465413,2.436767,-37.952835,-0.005647213704651222,27.11705927848816,2.5268112778663636,0.05029296875,0.004711689293617383
11,11264,225,-5.8741593,2.3965256,-41.47992,-0.006253853917587549,23.2732874751091,2.4762598156929014,0.0732421875,0.00605725894565694
12,12288,245,-5.629917,2.429076,-44.852894,-0.010500359497382306,21.879898011684418,2.420663507282734,0.059765625,0.005431997688720003
13,13312,266,-4.5930815,2.2598188,-47.349224,-0.012348135671345517,14.349549302458763,2.351674845814705,0.10693359375,0.008407430653460325
14,14336,286,-3.8335853,1.690954,-49.958763,-0.005626122042303905,8.409438334405422,2.276822140812874,0.0890625,0.007475555053679273
15,15360,307,-3.380372,1.8645959,-52.864395,-0.011970546349766664,7.478396140038967,2.18333507925272,0.1279296875,0.010228167497552931
16,16384,327,-2.1827893,1.5309136,-54.861187,-0.014965030929306521,3.5043439477682115,2.0483459353446962,0.13603515625,0.010536881536245346
17,17408,348,-1.4696283,1.271411,-56.381287,-0.012601037637796252,2.002648235112429,1.9200384885072708,0.12490234375,0.010760675620986149
18,18432,368,-0.9668089,1.2761878,-57.36717,-0.016026539652375504,1.7041633144021033,1.8022260166704656,0.16787109375,0.012550973595352843
19,19456,389,-0.50352937,1.5492039,-57.754787,-0.014758603554219008,2.1109161131083964,1.6840479910373687,0.10712890625,0.008981074544135482
20,20480,409,0.2710304,1.1763579,-57.48577,-0.016188591736136005,1.3331866908818484,1.5789247632026673,0.12724609375,0.010226083837915212
21,21504,430,0.3935302,1.1303945,-57.10092,-0.016429723962210117,1.2533479809761048,1.474881610274315,0.1203125,0.010651576140662655
22,22528,450,0.74766564,1.0682436,-56.374706,-0.016340900119394063,1.1372385390102864,1.3768614903092384,0.1193359375,0.009800291777355596
23,23552,471,0.8505712,0.9259428,-55.53602,-0.013470224270713515,0.8305356450378895,1.2925520449876786,0.11123046875,0.008507345709949732
24,24576,491,0.9792016,1.0117811,-54.468193,-0.0162713912606705,1.028085470199585,1.2160789780318737,0.10703125,0.008068531204480677
25,25600,512,0.8447517,1.015753,-53.36309,-0.010798657248960808,1.032688645273447,1.1436450116336345,0.07021484375,0.006234433458303101
26,26624,532,1.0046487,0.85715014,-52.238457,-0.01350817775237374,0.7306645214557648,1.070413787662983,0.0955078125,0.008050754744908772
27,27648,552,0.7535274,0.9582198,-51.50825,-0.015056237526005134,0.8766186505556106,1.0068086825311184,0.11884765625,0.009492505804519168
28,28672,573,1.2744747,0.99310726,-50.23018,-0.009236192237585783,0.9369475230574608,0.9571072358638049,0.07119140625,0.005999171166331507
29,29696,593,1.0630894,1.0798541,-49.068825,-0.014029732532799244,0.9418317785486578,0.9098683498799801,0.09267578125,0.007679887011181563
30,30720,614,0.7627771,0.93359584,-48.324688,-0.008502996037714183,0.7888583064079284,0.8530299123376608,0.10595703125,0.008563172101275995
31,31744,634,1.045514,0.88158154,-47.14888,-0.011288186599267646,0.6841941274702549,0.8033851597458124,0.1076171875,0.008582519850460813
32,32768,655,1.0339079,0.9165759,-46.159214,-0.010152561531867832,0.7560784503817558,0.7689888928085565,0.0908203125,0.007390760310227051
33,33792,675,0.77057326,0.8414087,-45.44096,-0.014019136235583573,0.5754353968426585,0.7296261288225651,0.13037109375,0.009533275890862569
